1,name,source,type,description
90,Wand Sheath,17,"Wondrous item, common (requires attunement by a warforged)","A wand sheath clamps onto your arm and imparts the following benefits:|||If a sheathed wand requires attunement, you must attune to the wand before you can use it. However, the wand sheath and the attached wand count as a single magic item with regard to the number of magic items you can attune to. If you remove the wand from the sheath, your attunement to the wand ends."
91,Adamantine Armor,4,"Armor (medium or heavy, but not hide), uncommon","This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any critical hit against you becomes a normal hit."
92,Alchemy Jug,4,"Wondrous item, uncommon","This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty.|||You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named.|||Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn.||||||Liquid,Max Amount|||Acid,8 ounces|||Basic poison,1/2 ounce|||Beer,4 gallons|||Honey,1 gallon|||Mayonnaise,2 gallons|||Oil,1 quart|||Vinegar,2 gallons|||Water, fresh,8 gallons|||Water, salt,12 gallons|||Wine,1 gallon|||"
93,Alchemy Jug (Blue),40,"Wondrous item, uncommon","(This jug functions as an Alchemy Jug, except that it neither produces acid or poison. It can produce 1 quart of boiling hot tea instead.)|||This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty.|||You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named.|||Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn.||||||Liquid,Max Amount|||Boiling Hot Tea,1 quart|||Beer,4 gallons|||Honey,1 gallon|||Mayonnaise,2 gallons|||Oil,1 quart|||Vinegar,2 gallons|||Water, fresh,8 gallons|||Water, salt,12 gallons|||Wine,1 gallon|||"
94,Alchemy Jug (Orange),40,"Wondrous item, uncommon","(This jug functions as an Alchemy Jug, except that it neither produces acid or poison. It can produce 1 gallon of soy sauce instead.)|||This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty.|||You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named.|||Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn.||||||Liquid,Max Amount|||Soy Sauce,1 gallon|||Beer,4 gallons|||Honey,1 gallon|||Mayonnaise,2 gallons|||Oil,1 quart|||Vinegar,2 gallons|||Water, fresh,8 gallons|||Water, salt,12 gallons|||Wine,1 gallon|||"
95,All-Purpose Tool,9,"Wondrous item, uncommon (+1), rare (+2), very rare (+3) (requires attunement by an artificer)","This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it. While holding this tool, you gain a bonus to the spell attack rolls and the saving throw DCs of your artificer spells. The bonus is determined by the tool's rarity.|||As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
96,"Ammunition, +1, +2, or +3",4,"Weapon (any ammunition), uncommon (+1), rare (+2), or very rare (+3)","You have a bonus to attack and damage rolls made with this piece of magic ammunition. The bonus is determined by the rarity of the ammunition. Once it hits a target, the ammunition is no longer magical."
97,Amulet of Proof Against Detection and Location,4,"Wondrous item, uncommon (requires attunement)","While wearing this amulet, you are hidden from divination magic. You can't be targeted by such magic or perceived through magical scrying sensors."
98,Amulet of the Devout,9,"Wondrous item, uncommon (+1), rare (+2), very rare (+3) (requires attunement by a cleric or paladin)","This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a bonus to spell attack rolls and the saving throw DCs of your spells. The bonus is determined by the amulet's rarity.|||While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
99,Amulet of the Drunkard,18,"Wondrous item, uncommon","This amulet smells of old, ale-stained wood. While wearing it, you can regain 4d4 + 4 hit points when you drink a pint of beer, ale, mead, or wine. Once the amulet has restored hit points, it can't do so again until the next dawn."
100,Arcane Grimoire,9,"Wondrous item, uncommon (+1), rare (+2), very rare (+3) (requires attunement by a wizard)","While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a bonus to spell attack rolls and to the saving throw DCs of your wizard spells. The bonus is determined by the book's rarity.|||You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
101,Armor Of Fungal Spores,13,"Armor (medium), uncommon","While wearing this armor, you can take a bonus action to make the armor emit poisonous spores, which fill a 10-foot-radius sphere centered on yourself. Each creature in that area must succeed on a DC 15 Constitution saving throw or have the poisoned condition until the end of your next turn. Once this property is used, it can’t be used again until the next dawn."
